Operator_ID,L_Skill,L_Risk_Propensity,L_Idle_Habit,L_Idle_SD,L_Speed_Factor,L_Speed_SD,L_Fuel_Habit,L_Smoothness,L_Harsh_Rate,L_Seatbelt_Compliance,L_Awareness
OP1059,0.75,0.3651,20.4121,2.1782,0.9364,0.0616,1.08,80.1087,1.92,0.933,0.8842
OP1060,0.7319,0.1024,24.2348,3.6341,0.8669,0.0785,0.965,85.4657,0.8179,0.9746,0.8874
OP1061,0.7214,0.4032,18.7285,2.071,0.9253,0.0809,1.0156,80.2543,1.9023,0.8982,0.6719
OP1062,0.5546,0.2278,22.0449,2.7646,1.1976,0.0686,1.132,74.976,1.3693,0.9672,0.7241
OP1063,0.7828,0.1174,21.138,2.8141,0.9716,0.0656,1.0632,91.6133,1.016,0.9709,0.8248
OP1064,0.5113,0.4775,26.2575,3.4147,1.1206,0.0675,0.9962,75.8219,2.1448,0.9285,0.7228
OP1065,0.5522,0.3958,26.5276,3.7449,0.9626,0.0738,0.9705,69.8229,2.1452,0.9567,0.7611
OP1066,0.4924,0.2679,11.345,1.5788,0.9609,0.0639,0.9793,76.4384,1.5452,0.9138,0.5923
OP1067,0.5347,0.592,9.1083,1.453,0.9891,0.0979,1.0532,70.6668,2.0453,0.8745,0.5848
OP1068,0.6844,0.2668,28.3987,4.5428,0.75,0.0762,0.9828,85.4071,1.1003,0.9585,0.738
OP1069,0.5732,0.3592,30.3087,3.9701,0.8645,0.0924,0.9784,77.6923,1.6771,0.9418,0.8291
OP1070,0.5946,0.3938,13.9924,1.4792,0.8299,0.099,1.0918,72.0927,1.5588,0.9411,0.6123
OP1071,0.2893,0.2975,10.4311,1.4986,0.7619,0.0632,1.0045,62.5747,2.099,0.9401,0.7651
OP1072,0.1294,0.496,20.7054,3.2839,0.917,0.0861,1.1732,57.3755,2.5682,0.9388,0.4907
OP1073,0.5663,0.2697,27.7026,3.2994,1.1124,0.0949,1.0007,83.3745,2.1883,0.9713,0.6657
OP1074,0.8746,0.2429,37.5206,4.7904,0.9688,0.0854,1.0848,83.2685,0.7234,0.9655,0.8385
OP1075,0.6544,0.5599,23.9612,3.0068,1.1815,0.0772,1.0355,78.3612,2.2653,0.9126,0.6137
OP1076,0.5809,0.1864,17.5601,1.8102,1.0002,0.0772,1.0456,86.2689,1.0868,0.9205,0.6959
OP1077,0.696,0.02,14.6309,2.0532,0.9958,0.0614,0.9253,88.8278,0.6915,0.998,0.918
OP1078,0.5997,0.6078,20.0803,2.4337,0.9744,0.0814,0.9694,76.0316,2.4352,0.9365,0.5385
OP1079,0.656,0.7495,18.0111,2.6521,1.1523,0.0997,1.0567,70.4367,2.1052,0.908,0.4282
OP1080,0.6895,0.2717,14.0196,2.1019,1.0533,0.0983,1.0486,83.6693,1.5111,0.9348,0.7767
OP1081,0.5971,0.0405,40.9682,6.1155,0.865,0.0616,0.9778,78.5914,1.4605,0.9936,0.7184
OP1082,0.683,0.2879,37.3578,4.6697,1.0404,0.0882,0.9137,74.1865,1.3867,0.9677,0.7379
OP1083,0.5794,0.3073,29.7655,3.5508,1.0459,0.0721,0.916,82.7991,1.738,0.9793,0.6761
OP1084,0.6852,0.3068,14.4897,2.1,0.9343,0.0961,0.9067,79.3316,1.8011,0.9307,0.7217
OP1085,0.3557,0.2085,26.9771,3.9949,0.8523,0.0618,0.8948,70.2366,1.6534,0.9555,0.859
OP1086,0.821,0.4096,25.0181,3.2392,0.8965,0.0974,1.0003,81.1009,1.4936,0.9508,0.8091
OP1087,0.5975,0.4343,23.3506,3.5862,1.0297,0.0935,1.0744,71.5742,1.3998,0.934,0.7249
OP1088,0.5954,0.1116,30.973,3.3647,0.9731,0.0647,0.9804,82.8897,1.3247,0.9493,0.6914
OP1089,0.6496,0.4544,24.9809,3.8157,0.9469,0.0624,0.8702,75.9781,1.9282,0.9388,0.6658
OP1090,0.803,0.648,25.9128,2.7407,1.0772,0.0934,1.0022,82.6702,2.0033,0.9188,0.7192
OP1091,0.7644,0.3529,24.9943,2.7297,1.0578,0.0662,0.9822,87.3301,1.5965,0.9444,0.7227
OP1092,0.4332,0.321,22.5336,2.9751,1.0546,0.0814,1.1318,74.1899,1.7369,0.9509,0.7575
OP1093,0.4638,0.3477,10.7131,1.1147,1.1546,0.0966,0.9192,74.5507,1.7807,0.9381,0.5902
OP1094,0.8579,0.4098,20.594,2.1247,1.1426,0.0827,0.9684,94.4303,1.7465,0.9654,0.7963
OP1095,0.4007,0.103,16.4622,1.6467,0.8381,0.0759,1.0926,71.6963,1.0421,0.9546,0.7122
OP1096,0.4741,0.3952,12.7788,1.6124,1.1797,0.0778,1.0369,72.842,2.2808,0.9258,0.6847
OP1097,0.7868,0.2595,36.0306,5.2777,0.9243,0.0625,1.0172,92.8121,0.9552,0.9541,0.7997
OP1098,0.5459,0.6538,36.6305,3.7396,1.1804,0.0988,1.0339,75.8167,2.4137,0.9241,0.5752
OP1099,0.5526,0.3292,32.1837,4.4779,1.0016,0.0724,1.0205,71.8333,2.2407,0.9155,0.7105
OP1100,0.5536,0.6238,21.8687,3.2669,1.0272,0.0676,1.0709,70.4174,2.7771,0.8839,0.5532
OP1101,0.6456,0.1666,32.087,3.5321,0.7734,0.0714,0.9345,89.9253,1.2661,0.9243,0.8704
OP1102,0.3285,0.4847,20.0846,2.1854,1.0165,0.0986,1.077,67.479,2.1824,0.9275,0.5966
OP1103,0.6587,0.3923,21.4712,3.2561,0.8546,0.0638,0.9181,81.2824,1.658,0.9156,0.7395
OP1104,0.4657,0.2311,13.6401,2.0377,1.067,0.0947,1.0169,75.1348,1.6372,0.9496,0.6994
OP1105,0.6375,0.3728,22.9813,3.0413,1.1574,0.0883,1.0107,78.5109,1.7762,0.9535,0.8096
OP1106,0.4651,0.5642,20.4272,3.0468,0.9739,0.0932,0.9869,70.472,2.4298,0.9045,0.5815
OP1107,0.318,0.3405,12.6772,1.3383,1.0278,0.099,1.012,66.9023,2.0619,0.9488,0.6065
OP1108,0.1368,0.1488,19.6448,2.4295,0.8772,0.0937,0.9697,64.3263,1.7542,0.9612,0.6436
OP1109,0.5972,0.3476,19.4496,2.806,0.9366,0.0977,0.9356,79.2507,1.3919,0.9567,0.8756
OP1110,0.6236,0.2021,37.5202,4.3316,1.0405,0.0651,0.9658,80.1903,1.2277,0.9703,0.7014
OP1111,0.7134,0.2782,27.3497,3.9695,0.9782,0.0918,0.9223,87.0996,1.6681,0.9378,0.8757
OP1112,0.4344,0.3618,20.0803,2.6155,1.1769,0.0818,1.0286,83.7964,1.6411,0.9382,0.5176
OP1113,0.543,0.0856,21.8196,3.1642,0.8857,0.0817,0.9127,74.8989,1.1151,0.9956,0.8403
OP1114,0.6046,0.0908,20.3119,2.5975,1.0351,0.096,1.0218,85.6652,0.8965,0.982,0.9715
OP1115,0.3905,0.4586,18.6289,2.2741,1.0369,0.0989,0.9483,65.4066,2.3057,0.902,0.6519
OP1116,0.5016,0.2811,13.693,1.5494,1.0624,0.0882,0.9654,78.7504,1.6038,0.9644,0.7418
OP1117,0.738,0.02,18.9701,2.1342,0.8728,0.0793,0.9292,91.3074,1.1337,0.9609,0.8824
OP1118,0.4083,0.5043,15.4035,2.2349,1.0336,0.0783,1.1014,71.2909,2.4976,0.9527,0.6041
OP1119,0.4678,0.4134,12.9115,1.3833,1.0043,0.0755,1.0315,77.1441,1.7443,0.9559,0.6416
