Record_ID,Timestamp,Scenario,Machine_ID,Machine_Type,Machine_Model_Class,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Operator_ID,Experience_Level,Years_Experience,Operating_Shift,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Operating_Mode,Travel_Direction,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Seatbelt_Status,Proximity_Distance,Obstacle_Type,Blind_Zone_Entry,Ground_Slope,Safety_Zone_Status,Emergency_Stop,Safety_Event,Weather,Visibility,Ambient_Temperature,Dust_Level,Ground_Condition,Terrain_Type,Working_Zone,Lighting_Condition,Task_ID,Task_Type,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Safety_Risk_Level,Operator_Anomaly,Anomaly_Score,Anomaly_Reason,Task_Completion_Time,Incident_Type,Fuel_Efficiency
R006470,2026-03-01 07:07,HIGH_FUEL_CONSUMPTION,EXC-212,Excavator,Large Excavator (30t class),868.9,0.6,82.8,60.6,2.45,24.55,84.0,65.5,OP1018,Experienced,6.1,Morning,70.6,21.9,66.6,1,62.4,2.76,82.0,256,27.7,Standard,Reverse,0,0,17,92.4,3,Fastened,7.57,Worker,0,0.0,Clear,0,0,Dust_Wind,52.9,32.4,53.7,Dry,Flat,Zone B,Daylight,TSK-006470,Loading,3,705.5,705.5,146.5,0.139,134.0,152.8,63.2,12.6,LOW,1,0.9999,Abnormal_Fuel,135.1,No_Incident,11.16
R013259,2026-03-01 07:13,NORMAL_OPERATION,EXC-203,Excavator,Large Excavator (30t class),12960.3,8.6,84.8,63.5,2.67,17.36,58.9,63.0,OP1055,Experienced,8.6,Morning,71.5,27.1,72.4,3,73.5,2.77,82.8,363,51.4,Standard,Reverse,2,0,11,85.5,4,Fastened,6.18,Vehicle,0,3.3,Clear,0,0,Clear,89.5,30.4,23.6,Dry,Flat,Zone B,Daylight,TSK-013259,Loading,1,1003.8,1003.8,207.7,0.416,190.7,182.9,52.1,19.4,LOW,0,0.2414,Normal,116.0,No_Incident,19.26
R017342,2026-03-01 07:14,NORMAL_OPERATION,EXC-224,Excavator,Large Excavator (30t class),14736.7,9.3,84.3,64.6,2.7,21.75,54.3,75.2,OP1026,Novice,1.9,Morning,68.4,13.6,65.5,2,39.0,3.24,100.0,236,11.9,Standard,Forward,3,2,18,72.4,0,Fastened,14.22,Structure,0,7.1,Clear,0,0,Cloudy,85.2,26.5,24.8,Dry,Gentle_Slope,Zone A,Daylight,TSK-017342,Excavation,3,762.3,762.3,138.4,0.72,152.5,159.7,58.4,40.5,MEDIUM,0,0.0677,Normal,39.3,No_Incident,13.05
R035571,2026-03-01 07:18,EFFICIENT_OPERATION,WHL-301,Wheel Loader,Large Wheel Loader,11617.1,7.8,83.4,58.5,6.44,15.16,60.3,43.1,OP1024,Novice,0.9,Morning,74.7,8.4,67.3,0,47.7,3.75,54.6,145,9.8,Eco,Reverse,5,1,29,68.0,5,Fastened,8.96,Vehicle,0,0.9,Clear,0,0,Cloudy,96.3,31.4,49.9,Dry,Haul_Road,Zone F,Daylight,TSK-035571,Material_Transfer,4,540.1,540.1,102.8,0.346,104.1,185.7,48.2,29.9,LOW,0,0.0609,Normal,130.7,No_Incident,11.2
R006625,2026-03-01 07:21,NORMAL_OPERATION,WHL-309,Wheel Loader,Medium Wheel Loader,12905.7,10.3,81.8,57.4,6.97,10.97,66.5,57.2,OP1064,Experienced,8.2,Morning,73.8,22.8,62.8,5,51.5,3.57,77.0,187,35.8,Eco,Forward,4,3,18,69.9,1,Fastened,14.25,No_Object,0,6.4,Clear,0,0,Cloudy,75.1,30.5,41.8,Dry,Haul_Road,Zone F,Daylight,TSK-006625,Stockpiling,3,664.1,664.1,208.4,0.881,149.5,203.8,36.0,28.4,LOW,0,0.1428,Normal,25.3,No_Incident,18.47
R008124,2026-03-01 07:26,PROXIMITY_HAZARD,WHL-306,Wheel Loader,Large Wheel Loader,8532.2,5.5,81.1,58.4,4.11,20.93,69.0,62.0,OP1071,Intermediate,2.1,Morning,71.5,11.3,58.4,0,31.3,5.28,73.2,194,13.9,Standard,Reverse,2,3,12,64.0,4,Fastened,1.84,Vehicle,0,6.4,Violated,0,1,Clear,97.2,26.2,40.1,Dry,Haul_Road,Zone B,Daylight,TSK-008124,Loading,2,1020.3,1020.3,187.4,0.656,162.5,181.1,60.2,66.3,HIGH,0,0.1011,Normal,67.4,Vehicle_Interaction,16.94
R025421,2026-03-01 07:27,EFFICIENT_OPERATION,EXC-214,Excavator,Large Excavator (30t class),10453.1,8.1,83.0,63.1,0.35,16.84,64.7,68.0,OP1094,Expert,11.1,Morning,97.2,21.9,82.1,5,77.2,2.43,72.1,200,11.4,Standard,Swinging,0,0,6,93.3,0,Fastened,10.29,Worker,0,2.2,Clear,0,0,Cloudy,79.3,29.5,26.4,Dry,Flat,Zone B,Daylight,TSK-025421,Loading,3,485.4,485.4,96.3,0.507,92.2,96.0,26.5,4.6,LOW,0,0.0342,Normal,46.7,No_Incident,18.29
R008042,2026-03-01 07:42,MACHINE_OVERHEATING,EXC-223,Excavator,Large Excavator (30t class),8630.5,7.0,101.1,80.3,2.1,13.86,56.2,48.6,OP1109,Experienced,8.0,Morning,77.0,18.5,84.3,1,63.0,1.77,53.8,287,34.9,Eco,Forward,2,1,26,82.1,2,Fastened,6.31,Worker,0,2.1,Clear,0,0,Fog,25.3,29.9,31.7,Dry,Trench_Edge,Zone C,Daylight,TSK-008042,Backfilling,4,507.9,507.9,103.3,0.401,86.3,210.6,47.0,28.4,LOW,0,0.0432,Normal,125.8,No_Incident,10.8
R016667,2026-03-01 07:42,EFFICIENT_OPERATION,WHL-314,Wheel Loader,Medium Wheel Loader,11823.8,8.1,81.2,56.5,0.84,12.57,75.1,65.9,OP1013,Experienced,5.5,Morning,72.1,17.2,66.7,2,46.1,2.99,69.7,218,23.9,Standard,Stationary,2,3,13,76.9,2,Fastened,14.59,No_Object,0,3.1,Clear,0,0,Clear,100.0,24.5,33.2,Dry,Flat,Zone D,Daylight,TSK-016667,Material_Transfer,3,650.5,650.5,191.8,0.74,168.5,209.7,44.7,6.4,LOW,0,0.0229,Normal,58.0,No_Incident,14.55
R001356,2026-03-01 07:54,EFFICIENT_OPERATION,EXC-223,Excavator,Large Excavator (30t class),8630.5,7.0,82.2,64.9,0.0,13.24,75.0,67.1,OP1109,Experienced,8.0,Morning,77.0,18.5,84.3,1,63.0,2.55,77.7,161,7.0,Eco,Swinging,0,2,6,82.7,0,Fastened,16.07,Worker,0,12.1,Clear,0,0,Hot,88.2,29.7,48.0,Dry,Stockpile,Zone D,Daylight,TSK-001356,Loading,1,410.2,410.2,78.0,0.797,77.9,81.0,18.9,10.7,LOW,0,0.0146,Normal,16.8,No_Incident,21.7
R029518,2026-03-01 07:55,NORMAL_OPERATION,EXC-218,Excavator,Medium Excavator (20t class),8006.8,7.0,79.8,60.1,0.7,13.01,70.6,61.5,OP1026,Novice,1.9,Morning,68.4,13.6,65.5,2,39.0,1.74,87.0,343,15.4,Standard,Stationary,4,5,24,76.6,1,Fastened,10.75,Vehicle,0,1.5,Clear,0,0,Clear,83.7,26.5,23.2,Dry,Flat,Zone D,Daylight,TSK-029518,Loading,3,595.9,595.9,152.3,0.698,151.0,163.8,36.3,9.4,LOW,0,0.1669,Normal,53.6,No_Incident,16.42
R005151,2026-03-01 07:56,EFFICIENT_OPERATION,WHL-310,Wheel Loader,Medium Wheel Loader,4446.8,3.2,81.3,61.7,3.95,11.28,74.6,71.1,OP1047,Experienced,5.9,Morning,86.7,14.6,88.2,0,82.6,3.73,85.7,111,9.7,Eco,Forward,0,0,6,94.3,1,Fastened,9.09,Worker,0,12.8,Clear,0,0,Dust_Wind,47.8,26.2,83.1,Loose,Stockpile,Zone D,Daylight,TSK-005151,Loading,3,410.3,410.3,98.5,0.689,87.8,113.8,21.4,55.6,HIGH,0,0.0397,Normal,34.3,No_Incident,19.16
R033008,2026-03-01 07:56,LOW_VISIBILITY,EXC-218,Excavator,Medium Excavator (20t class),8006.8,7.0,79.9,57.9,0.52,11.75,71.1,55.8,OP1096,Intermediate,2.5,Morning,76.6,12.8,62.6,3,49.0,1.31,65.2,323,38.2,Eco,Swinging,5,3,19,72.2,0,Fastened,5.82,Utility_Marker,0,3.3,Warning,0,0,Fog,36.2,27.5,16.6,Loose,Trench_Edge,Zone C,Daylight,TSK-033008,Trenching,4,421.6,421.6,147.1,0.634,146.1,355.9,70.6,18.8,LOW,0,0.1106,Normal,133.7,No_Incident,5.97
R015998,2026-03-01 08:00,NORMAL_OPERATION,EXC-204,Excavator,Medium Excavator (20t class),1350.0,1.2,79.6,57.9,0.47,13.6,92.1,76.6,OP1007,Intermediate,4.1,Morning,74.6,22.3,78.2,3,68.2,1.58,79.7,160,11.6,Standard,Swinging,1,0,4,79.2,0,Fastened,11.87,Vehicle,0,7.8,Clear,0,0,Dust_Wind,59.1,28.1,73.6,Dry,Gentle_Slope,Zone E,Daylight,TSK-015998,Excavation,1,251.2,251.2,80.4,0.549,67.0,68.0,15.3,11.6,LOW,0,0.1097,Normal,28.0,No_Incident,16.43
R035069,2026-03-01 08:01,EFFICIENT_OPERATION,WHL-303,Wheel Loader,Medium Wheel Loader,9140.3,6.9,80.1,60.5,8.57,8.6,73.0,53.8,OP1075,Experienced,6.0,Morning,76.2,20.8,71.8,3,61.1,3.32,77.7,201,38.9,Eco,Forward,2,3,2,88.7,2,Unfastened,5.77,Material_Pile,0,1.5,Warning,0,0,Hot,87.9,36.5,56.4,Dry,Haul_Road,Zone F,Daylight,TSK-035069,Material_Transfer,3,664.1,664.1,204.6,0.844,172.0,217.5,32.8,29.5,LOW,0,0.0445,Normal,33.3,No_Incident,20.26
R009865,2026-03-01 08:07,NORMAL_OPERATION,EXC-203,Excavator,Large Excavator (30t class),12960.3,8.6,82.7,64.5,0.67,20.45,59.9,71.0,OP1037,Experienced,5.0,Morning,66.4,26.3,64.8,3,46.0,2.14,63.9,172,29.4,Power,Stationary,3,6,11,68.6,0,Fastened,5.08,Worker,0,3.6,Warning,0,0,Clear,97.0,26.3,23.0,Dry,Gentle_Slope,Zone C,Daylight,TSK-009865,Trenching,4,368.1,368.1,117.4,0.471,95.7,169.7,59.1,22.2,LOW,0,0.087,Normal,87.7,No_Incident,6.23
R001037,2026-03-01 08:14,NORMAL_OPERATION,EXC-208,Excavator,Large Excavator (30t class),5057.6,3.8,82.1,62.7,2.59,21.14,81.6,68.1,OP1042,Experienced,5.8,Morning,83.0,16.9,68.3,2,68.7,2.09,68.3,166,15.3,Standard,Forward,4,1,6,75.9,1,Fastened,15.63,Material_Pile,0,7.9,Clear,0,0,Hot,80.8,36.2,35.0,Dry,Gentle_Slope,Zone A,Daylight,TSK-001037,Excavation,4,346.3,346.3,78.9,0.466,69.3,98.3,34.4,10.5,LOW,0,0.11,Normal,53.1,No_Incident,10.05
R025466,2026-03-01 08:14,EFFICIENT_OPERATION,EXC-219,Excavator,Large Excavator (30t class),2433.9,2.1,78.3,55.0,2.73,14.56,93.5,54.6,OP1046,Novice,1.9,Morning,71.3,15.7,63.1,2,46.4,2.2,69.7,336,19.6,Eco,Forward,3,0,8,68.5,2,Fastened,16.86,Material_Pile,0,1.8,Clear,0,0,Clear,87.6,32.3,22.3,Dry,Flat,Zone B,Daylight,TSK-025466,Loading,3,739.3,739.3,171.9,0.794,140.5,189.7,49.0,10.6,LOW,0,0.0218,Normal,40.1,No_Incident,15.08
R005179,2026-03-01 08:28,PROXIMITY_HAZARD,EXC-223,Excavator,Large Excavator (30t class),8630.5,7.0,81.5,62.0,2.23,19.51,80.7,69.8,OP1109,Experienced,8.0,Morning,77.0,18.5,84.3,1,63.0,2.11,68.3,221,16.5,Power,Forward,4,1,10,85.6,2,Fastened,3.5,Worker,0,4.5,Warning,0,0,Clear,67.6,29.8,26.2,Dry,Trench_Edge,Zone C,Dawn_Dusk,TSK-005179,Backfilling,3,465.7,465.7,94.3,0.651,79.2,104.5,33.7,17.3,LOW,0,0.0702,Normal,35.3,No_Incident,13.82
R039108,2026-03-01 08:30,NORMAL_OPERATION,EXC-208,Excavator,Large Excavator (30t class),5057.6,3.8,85.9,72.9,0.21,23.42,79.3,80.1,OP1076,Experienced,6.5,Morning,75.4,15.7,86.0,2,52.3,2.33,74.7,265,17.5,Standard,Swinging,4,2,9,90.4,1,Fastened,13.15,No_Object,0,15.1,Clear,0,0,Clear,96.2,33.8,12.8,Dry,Embankment,Zone E,Daylight,TSK-039108,Excavation,4,616.0,616.0,131.2,0.774,123.2,174.2,67.7,16.9,LOW,0,0.0223,Normal,42.8,No_Incident,9.1
R033406,2026-03-01 08:32,NORMAL_OPERATION,WHL-304,Wheel Loader,Medium Wheel Loader,4944.5,4.0,78.6,54.3,0.19,11.06,86.4,56.4,OP1022,Expert,17.7,Morning,81.5,16.0,95.7,2,78.0,3.27,73.2,154,9.4,Standard,Stationary,2,1,3,89.2,2,Fastened,20.0,No_Object,0,0.8,Clear,0,0,Clear,98.5,30.0,24.1,Dry,Flat,Zone D,Daylight,TSK-033406,Stockpiling,3,503.8,503.8,116.7,0.577,113.4,104.0,20.0,5.3,LOW,0,0.0529,Normal,46.1,No_Incident,25.18
R018674,2026-03-01 08:34,STEEP_TERRAIN,EXC-210,Excavator,Medium Excavator (20t class),2836.1,2.1,85.1,63.0,2.01,13.57,84.5,83.0,OP1098,Experienced,5.0,Morning,70.8,34.6,70.2,3,50.0,1.49,73.8,228,73.9,Standard,Reverse,2,6,26,77.6,3,Fastened,10.09,Structure,0,23.5,Clear,0,0,Hot,79.1,31.9,45.4,Loose,Embankment,Zone E,Daylight,TSK-018674,Trenching,3,339.7,339.7,171.0,0.286,117.8,237.3,51.3,59.2,HIGH,0,0.0537,Normal,156.3,No_Incident,6.62
R033052,2026-03-01 08:39,STEEP_TERRAIN,WHL-309,Wheel Loader,Medium Wheel Loader,12905.7,10.3,87.3,67.1,3.17,15.62,66.5,77.7,OP1071,Intermediate,2.1,Morning,71.5,11.3,58.4,0,31.3,2.88,67.1,176,20.0,Standard,Forward,3,4,15,59.9,4,Fastened,8.52,Worker,0,16.8,Clear,0,0,Clear,91.3,31.5,15.5,Loose,Embankment,Zone E,Daylight,TSK-033052,Loading,1,504.3,504.3,134.3,0.92,107.9,176.3,45.8,44.7,MEDIUM,0,0.1943,Normal,14.7,No_Incident,11.01
R011982,2026-03-01 08:42,NORMAL_OPERATION,EXC-221,Excavator,Large Excavator (30t class),12745.2,8.2,84.1,65.4,2.03,15.59,74.8,76.4,OP1036,Experienced,5.4,Morning,72.4,18.2,75.5,3,69.4,2.22,73.2,130,17.2,Standard,Forward,7,3,5,79.5,1,Fastened,15.28,No_Object,0,9.4,Clear,0,0,Clear,97.3,31.5,27.5,Dry,Embankment,Zone E,Daylight,TSK-011982,Excavation,3,436.2,288.1,100.3,0.132,87.2,115.2,30.9,30.1,MEDIUM,0,0.2402,Normal,98.6,No_Incident,9.34
R018938,2026-03-01 08:42,POOR_WEATHER,WHL-304,Wheel Loader,Medium Wheel Loader,4944.5,4.0,81.7,59.6,5.74,14.61,85.0,61.6,OP1022,Expert,17.7,Morning,81.5,16.0,95.7,2,78.0,3.07,68.8,339,51.2,Power,Forward,5,1,10,98.2,4,Fastened,14.08,No_Object,0,1.3,Clear,0,0,Heavy_Rain,37.8,27.0,27.1,Muddy,Haul_Road,Zone F,Daylight,TSK-018938,Material_Transfer,3,1038.4,1038.4,237.2,0.268,268.9,370.9,89.2,17.4,LOW,0,0.3153,Normal,255.2,No_Incident,11.64
R025016,2026-03-01 08:43,EFFICIENT_OPERATION,EXC-204,Excavator,Medium Excavator (20t class),1350.0,1.2,79.6,58.3,1.77,14.08,90.2,61.6,OP1029,Expert,13.9,Morning,71.9,20.2,77.9,1,68.1,1.18,59.3,631,18.3,Eco,Forward,1,1,3,86.2,3,Fastened,20.0,No_Object,0,7.7,Clear,0,0,Clear,90.1,32.7,21.1,Dry,Gentle_Slope,Zone A,Daylight,TSK-025016,Excavation,2,741.3,741.3,225.9,0.397,197.7,237.6,52.9,5.1,LOW,0,0.0252,Normal,142.4,No_Incident,14.01
