,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Years_Experience,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Proximity_Distance,Blind_Zone_Entry,Ground_Slope,Emergency_Stop,Safety_Event,Visibility,Ambient_Temperature,Dust_Level,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Operator_Anomaly,Anomaly_Score,Task_Completion_Time,Fuel_Efficiency
Blind_Zone_Entry,0.006,0.006,-0.03,-0.034,0.07,-0.008,0.004,-0.039,0.001,-0.004,0.001,-0.001,0.0,-0.002,0.001,-0.022,-0.019,-0.014,0.007,0.007,-0.003,-0.025,0.147,-0.331,1.0,-0.028,0.267,0.369,-0.019,-0.008,0.004,0.004,-0.017,-0.017,-0.021,-0.003,-0.021,-0.02,-0.025,0.386,0.001,0.06,-0.01,0.008
Ground_Slope,0.005,0.008,0.247,0.308,-0.137,0.195,0.002,0.509,-0.023,-0.022,0.013,-0.009,-0.005,-0.014,-0.096,-0.023,0.019,0.081,0.093,0.096,0.116,-0.06,0.077,-0.003,-0.028,1.0,0.129,0.171,0.037,0.015,0.122,0.047,-0.073,-0.07,-0.044,-0.001,-0.049,0.102,0.209,0.415,0.043,0.038,0.062,-0.385
Emergency_Stop,0.052,0.046,0.046,0.054,0.102,0.057,-0.049,0.089,-0.004,-0.01,-0.016,-0.015,0.017,-0.023,0.071,0.028,-0.036,0.015,0.089,0.087,0.078,-0.094,0.126,-0.208,0.267,0.129,1.0,0.677,-0.046,-0.031,0.006,-0.019,0.024,0.024,0.009,0.002,0.01,0.03,0.058,0.345,0.058,0.078,0.017,-0.051
Safety_Event,0.068,0.06,0.058,0.072,0.14,0.073,-0.068,0.117,-0.005,-0.014,-0.024,-0.021,0.022,-0.031,0.096,0.037,-0.05,0.022,0.125,0.119,0.109,-0.128,0.169,-0.286,0.369,0.171,0.677,1.0,-0.072,-0.049,0.01,-0.026,0.033,0.033,0.014,-0.001,0.015,0.045,0.082,0.47,0.082,0.11,0.029,-0.07
Visibility,-0.039,-0.037,0.223,0.225,0.031,0.017,0.046,0.049,-0.04,-0.053,-0.013,-0.051,0.024,-0.043,-0.011,0.023,0.017,-0.114,-0.069,-0.062,-0.077,-0.028,-0.05,-0.022,-0.019,0.037,-0.046,-0.072,1.0,0.414,0.069,0.01,-0.001,0.005,0.008,0.003,0.004,-0.15,-0.134,-0.222,0.059,0.037,-0.091,0.191
Ambient_Temperature,-0.072,-0.066,0.513,0.502,0.009,0.001,0.056,0.018,-0.031,-0.052,-0.007,-0.07,-0.0,-0.063,-0.026,-0.003,0.017,-0.055,-0.006,0.005,-0.018,-0.044,-0.018,-0.01,-0.008,0.015,-0.031,-0.049,0.414,1.0,0.269,0.011,-0.012,-0.008,0.009,0.003,0.001,-0.069,-0.067,-0.127,0.011,0.01,-0.042,0.078
Dust_Level,-0.023,-0.021,0.138,0.129,0.108,-0.004,0.025,0.006,0.0,-0.002,-0.011,-0.037,0.007,-0.011,0.117,-0.002,-0.011,0.01,0.015,0.009,0.016,-0.021,0.012,0.007,0.004,0.122,0.006,0.01,0.069,0.269,1.0,-0.053,0.088,0.093,0.07,-0.003,0.071,0.023,0.02,0.034,-0.002,0.003,0.016,0.095
Task_Complexity,0.005,0.011,0.051,0.067,-0.15,0.074,-0.013,0.091,-0.029,-0.018,0.018,-0.003,-0.011,-0.006,-0.184,-0.004,-0.028,0.078,0.045,0.047,0.067,0.005,0.048,-0.003,0.004,0.047,-0.019,-0.026,0.01,0.011,-0.053,1.0,-0.19,-0.187,-0.132,-0.003,-0.139,0.102,0.139,-0.047,-0.001,-0.003,0.063,-0.455
Target_Quantity,-0.015,-0.028,-0.051,-0.06,0.265,-0.021,0.026,-0.08,0.048,0.035,-0.038,0.004,0.023,0.006,0.349,0.06,0.586,0.511,0.364,0.343,0.486,-0.017,0.365,0.026,-0.017,-0.073,0.024,0.033,-0.001,-0.012,0.088,-0.19,1.0,0.983,0.891,0.005,0.921,0.752,0.715,0.087,-0.016,-0.002,0.438,0.291
Completed_Quantity,-0.015,-0.027,-0.049,-0.059,0.262,-0.002,0.028,-0.077,0.046,0.034,-0.038,0.003,0.02,0.006,0.343,0.059,0.605,0.51,0.364,0.343,0.486,-0.017,0.366,0.026,-0.017,-0.07,0.024,0.033,0.005,-0.008,0.093,-0.187,0.983,1.0,0.875,0.003,0.905,0.752,0.726,0.084,-0.015,-0.001,0.438,0.3
Historical_Task_Duration,-0.07,-0.066,-0.033,-0.032,0.168,-0.188,0.069,-0.021,-0.052,-0.056,0.067,-0.076,-0.033,-0.103,0.109,0.058,0.7,0.622,0.412,0.394,0.546,-0.051,0.411,0.03,-0.021,-0.044,0.009,0.014,0.008,0.009,0.07,-0.132,0.891,0.875,1.0,-0.001,0.962,0.831,0.696,0.05,-0.012,0.003,0.487,0.183
Current_Task_Progress,0.003,0.002,0.005,0.007,-0.003,0.006,-0.003,0.004,0.004,0.001,-0.001,0.007,0.003,0.008,0.005,0.003,-0.001,0.001,-0.004,0.002,-0.006,-0.0,-0.005,-0.0,-0.003,-0.001,0.002,-0.001,0.003,0.003,-0.003,-0.003,0.005,0.003,-0.001,1.0,-0.0,-0.0,0.002,-0.002,0.004,0.002,-0.771,0.004
Estimated_Task_Duration,-0.08,-0.074,-0.039,-0.039,0.181,-0.184,0.067,-0.028,0.041,0.087,-0.059,0.016,0.021,0.005,0.114,0.06,0.723,0.546,0.392,0.374,0.518,0.014,0.391,0.034,-0.021,-0.049,0.01,0.015,0.004,0.001,0.071,-0.139,0.921,0.905,0.962,-0.0,1.0,0.822,0.691,0.044,-0.016,-0.002,0.482,0.226
Actual_Task_Duration,0.03,0.03,-0.049,-0.06,0.085,-0.218,-0.045,-0.076,-0.064,-0.066,0.07,-0.075,-0.038,-0.107,-0.027,-0.202,0.707,0.777,0.494,0.474,0.654,-0.063,0.491,0.033,-0.02,0.102,0.03,0.045,-0.15,-0.069,0.023,0.102,0.752,0.752,0.831,-0.0,0.822,1.0,0.832,0.13,0.044,0.06,0.582,-0.146
Total_Fuel_Used,0.114,0.098,0.121,0.14,0.022,0.321,-0.113,0.214,-0.111,-0.128,-0.007,-0.117,-0.043,-0.148,0.082,-0.092,0.571,0.609,0.46,0.442,0.592,-0.162,0.44,0.009,-0.025,0.209,0.058,0.082,-0.134,-0.067,0.02,0.139,0.715,0.726,0.696,0.002,0.691,0.832,1.0,0.22,0.087,0.11,0.485,-0.39
Safety_Risk_Score,0.184,0.161,0.174,0.198,0.33,0.17,-0.2,0.302,-0.036,-0.061,-0.047,-0.083,0.032,-0.105,0.253,0.134,-0.131,0.084,0.26,0.253,0.208,-0.252,0.26,-0.362,0.386,0.415,0.345,0.47,-0.222,-0.127,0.034,-0.047,0.087,0.084,0.05,-0.002,0.044,0.13,0.22,1.0,0.076,0.14,0.079,-0.192
Operator_Anomaly,0.013,0.012,0.014,0.027,0.121,0.07,0.008,0.066,-0.016,-0.024,-0.013,-0.027,0.01,-0.037,-0.017,-0.06,0.003,0.161,0.177,0.167,0.183,-0.213,0.133,-0.134,0.001,0.043,0.058,0.082,0.059,0.011,-0.002,-0.001,-0.016,-0.015,-0.012,0.004,-0.016,0.044,0.087,0.076,1.0,0.688,0.025,-0.14
Anomaly_Score,0.01,0.008,0.027,0.042,0.105,0.086,0.007,0.077,-0.014,-0.022,-0.008,-0.022,0.008,-0.034,-0.011,-0.042,0.008,0.201,0.215,0.202,0.151,-0.244,0.246,-0.174,0.06,0.038,0.078,0.11,0.037,0.01,0.003,-0.003,-0.002,-0.001,0.003,0.002,-0.002,0.06,0.11,0.14,0.688,1.0,0.034,-0.155
Task_Completion_Time,0.015,0.015,-0.034,-0.041,0.054,-0.138,-0.024,-0.049,-0.039,-0.04,0.043,-0.049,-0.021,-0.069,-0.019,-0.123,0.417,0.455,0.295,0.279,0.39,-0.038,0.295,0.021,-0.01,0.062,0.017,0.029,-0.091,-0.042,0.016,0.063,0.438,0.438,0.487,-0.771,0.482,0.582,0.485,0.079,0.025,0.034,1.0,-0.089
Fuel_Efficiency,-0.176,-0.17,-0.237,-0.275,0.317,-0.445,0.192,-0.405,0.217,0.22,-0.038,0.164,0.089,0.211,0.341,0.209,0.025,-0.16,-0.156,-0.157,-0.168,0.199,-0.127,0.026,0.008,-0.385,-0.051,-0.07,0.191,0.078,0.095,-0.455,0.291,0.3,0.183,0.004,0.226,-0.146,-0.39,-0.192,-0.14,-0.155,-0.089,1.0
